gaia_id,hostname,pl_name,ra,dec
"Gaia DR2 5911182735242698496","HATS-24","HATS-24 b",268.8907069,-61.7474000
"Gaia DR2 877846136542812160","HD 67087","HD 67087 c",121.9155672,31.5511553
"Gaia DR2 1014520826353577088","HAT-P-13","HAT-P-13 c",129.8823772,47.3519076
"Gaia DR2 2080563320187721344","Kepler-1037","Kepler-1037 b",296.3410342,47.1709335
"Gaia DR2 4623036865373793408","HD 39091","pi Men d",84.2992798,-80.4646041
"Gaia DR2 2129716192930293888","Kepler-1895","Kepler-1895 b",291.6756005,48.7625419
"Gaia DR2 2080334106374197376","Kepler-193","Kepler-193 b",296.4985951,46.5772484
"Gaia DR2 2133249099888182912","Kepler-681","Kepler-681 b",289.3997364,51.2502428
"Gaia DR2 2129467364005869184","Kepler-1293","Kepler-1293 b",290.0258783,48.3359227
"Gaia DR2 2079750265699679872","Kepler-1475","Kepler-1475 b",295.9482766,44.7530960
"Gaia DR2 2103788854053938816","Kepler-169","Kepler-169 d",285.9999204,40.9193822
"Gaia DR2 2131494313689868416","Kepler-129","Kepler-129 d",285.3111845,47.8484775
"Gaia DR2 1117620107545810944","TOI-3807","TOI-3807 b",139.1125648,69.0741284
"Gaia DR2 3417062653416093184","MWC 758","MWC 758 c",82.6147199,25.3324076
"Gaia DR2 2107622335702262400","Kepler-549","Kepler-549 d",283.0228527,47.2611431
"Gaia DR2 2099728391973441920","Kepler-626","Kepler-626 b",288.6986828,39.7082044
"Gaia DR2 2086474260339833088","Kepler-1189","Kepler-1189 b",298.4264116,47.9468194
"Gaia DR2 2133021810218800384","Kepler-325","Kepler-325 d",289.8354219,49.8256070
"Gaia DR2 2117396336940399616","Kepler-780","Kepler-780 b",281.7663511,44.2924898
"Gaia DR2 1677343097418015488","TOI-1136","TOI-1136 f",192.1848981,64.8552755
"Gaia DR2 2130168405747219072","Kepler-572","Kepler-572 b",291.2211720,50.5813487
"Gaia DR2 2127712955764258048","Kepler-877","Kepler-877 b",289.8591023,46.5227429
"Gaia DR2 2085676083618453376","Kepler-1545","Kepler-1545 b",298.8988313,47.4630696
"Gaia DR2 3830897080395058048","24 Sex","24 Sex c",155.8684866,-0.9023998
"Gaia DR2 2103845032226500352","Kepler-1814","Kepler-1814 c",285.2166767,41.2824449
"Gaia DR2 2099073667159859840","Kepler-1271","Kepler-1271 b",286.3442954,37.4119347
"Gaia DR2 920308932010648448","XO-5","XO-5 b",116.7163868,39.0944695
"Gaia DR2 2125777643502580864","Kepler-641","Kepler-641 b",291.8235292,42.5161945
"Gaia DR2 6614751532833886464","WASP-124","WASP-124 b",332.7143373,-30.7497189
"Gaia DR2 2102548708017562112","Kepler-20","Kepler-20 b",287.6979913,42.3385782
"Gaia DR2 2134932314753757312","Kepler-888","Kepler-888 b",295.5212866,49.7386804
"Gaia DR2 2106679126525940096","Kepler-1033","Kepler-1033 b",283.8450963,44.6090251
,"KMT-2016-BLG-2321L","KMT-2016-BLG-2321L b",264.0579167,-25.5248806
"Gaia DR2 2078752149661192832","Kepler-1342","Kepler-1342 b",297.0200549,43.4325382
"Gaia DR2 2125871960984455552","Kepler-1387","Kepler-1387 b",292.4403029,43.2093456
"Gaia DR2 2099925719951103872","Kepler-9","Kepler-9 c",285.5739904,38.4008192
"Gaia DR2 2117331813650826624","Kepler-439","Kepler-439 b",280.8015188,44.0339733
"Gaia DR2 2608279114251674624","K2-71","K2-71 b",341.7248656,-9.8816109
"Gaia DR2 2051866238502437632","Kepler-1514","Kepler-1514 b",292.6274943,37.8601653
"Gaia DR2 6356417496318028800","HD 207496","HD 207496 b",328.7181708,-77.3388025
"Gaia DR2 2308834780352875904","WASP-45","WASP-45 b",5.2377567,-35.9984650
